id,date_reading,temperature,humidity,dioxide,radiation
1,2021-08-16 21:20:26,31,89,501,0.98
2,2021-08-16 21:20:26,25,76,600,1.1
3,2021-07-16 21:29:03,33,98,650,0.9
4,2021-07-15 13:31:15,27,85,682,0.5
5,2021-07-01 09:48:00,19,76,490,0.07
6,2021-07-08 10:48:00,18,74,601,0.09
7,2021-07-10 11:48:00,18,70,480,0.99
8,2021-07-10 12:48:00,20,72,500,1.02
9,2021-08-05 14:30:03,30,91,700,1.1
10,2021-08-05 15:45:06,25,82,593,0.84
11,2021-07-10 13:48:00,22,81,496,1.03
12,2021-07-10 14:48:00,21,79,555,1.1
13,2021-07-20 16:12:42,23,77,617,0.68
14,2021-07-20 17:21:34,32,75,652,0.99
15,2021-07-10 18:48:00,24,76,502,0.87
16,2021-07-10 20:48:00,20,86,589,0.07
17,2021-07-10 22:48:00,25,75,480,1.31
18,2021-07-10 21:48:00,17,85,465,0.08
19,2021-07-26 22:41:31,26,81,678,0.75
20,2021-07-26 23:58:22,31,77,676,0.78
21,2021-08-01 16:49:10,24,79,477,0.17
22,2021-08-02 16:49:10,24,83,684,1.09
23,2021-07-30 16:51:50,20,74,481,0.09
24,2021-07-31 16:51:50,24,81,544,1.2
25,2021-07-28 00:08:15,32,83,597,0.91
26,2021-07-28 01:33:16,27,85,645,0.94
27,2021-07-28 16:53:28,29,73,463,1.04
28,2021-07-29 16:53:28,19,72,532,1.13
29,2021-07-26 16:54:58,18,70,456,0.75
30,2021-07-27 16:54:58,21,78,509,1.19
31,2021-07-24 16:56:59,26,71,462,1.22
32,2021-07-25 16:56:59,19,70,492,0.92
33,2021-07-22 16:58:22,22,80,451,0.08
34,2021-07-23 16:58:22,20,71,600,0.98
35,2021-07-29 02:17:06,25,76,681,0.94
36,2021-07-20 16:59:31,21,74,574,0.97
37,2021-07-21 16:59:31,23,72,512,1.14
38,2021-07-30 05:10:29,26,97,600,0.79
39,2021-08-01 17:02:31,21,70,473,0.94
40,2021-08-02 17:02:31,19,71,642,0.78
41,2021-08-03 17:03:34,22,79,512,0.64
42,2021-08-04 17:03:34,18,80,539,1.08
43,2021-07-31 06:30:13,32,100,707,0.81
44,2021-07-31 07:40:22,28,83,703,0.79
45,2021-08-01 08:19:58,24,76,658,1.08
46,2021-08-01 09:29:51,28,79,648,1.02
47,2021-08-02 10:29:30,25,82,633,0.72
48,2021-08-02 11:53:33,30,84,641,0.77
49,2021-08-04 16:18:00,19,78,485,0.89
50,2021-08-05 13:18:58,21,82,614,1.05
51,2021-08-06 19:25:02,20,73,481,0.15
52,2021-08-08 17:25:02,18,70,601,1.03
53,2021-08-03 12:25:39,26,95,671,1.22
54,2021-08-03 13:55:14,29,79,698,1.33
55,2021-08-09 09:27:33,20,71,491,1.21
56,2021-08-10 21:30:00,26,76,476,1.06
57,2021-08-04 14:29:14,31,99,587,0.87
58,2021-08-04 15:29:10,33,100,655,0.36
59,2021-07-25 07:31:03,23,82,602,1.07
60,2021-07-26 17:31:03,21,80,519,0.72
61,2021-08-06 18:23:21,25,61,632,0.37
62,2021-08-06 19:33:12,28,87,638,0.38
63,2021-08-08 20:14:18,30,78,705,0.67
64,2021-08-08 21:05:17,23,73,707,0.65
65,2021-07-27 10:32:55,18,72,459,0.33
66,2021-07-26 15:32:55,25,76,488,0.97
67,2021-08-09 22:32:14,31,75,683,0.73
68,2021-08-09 23:21:35,27,60,710,0.55
69,2021-08-12 16:46:26,19,73,503,1.19
70,2021-08-15 19:46:00,18,80,519,0.03
71,2021-07-13 17:49:12,28,79,700,1.11
72,2021-08-01 23:06:12,19,79,689,1.01
73,2021-08-10 00:22:14,33,68,623,0.51
74,2021-08-10 01:33:45,27,66,627,0.52
75,2021-08-07 20:30:44,28,75,521,0.84
76,2021-08-12 13:25:05,23,71,528,0.04
77,2021-08-11 02:53:23,31,63,596,1.1
78,2021-08-11 03:32:12,30,61,700,1.03
79,2021-07-30 09:53:00,25,79,570,1.02
80,2021-08-01 07:45:12,24,70,482,0.43
81,2021-07-01 19:54:46,19,73,490,0.73
82,2021-08-09 12:28:00,18,78,542,0.83
83,2021-08-12 03:55:57,25,99,533,1.25
84,2021-08-12 04:45:17,25,75,641,1.26
85,2021-07-15 17:56:23,20,71,495,1.05
86,2021-08-13 21:17:00,18,79,700,0.25
87,2021-08-09 09:15:37,25,80,456,0.19
88,2021-08-14 06:17:43,26,81,709,1.17
89,2021-08-14 07:27:30,32,72,702,1.1
90,2021-07-31 23:50:01,21,73,511,1.29
91,2021-08-01 12:29:00,19,78,572,1.26
92,2021-07-13 09:03:16,27,96,703,1.27
93,2021-07-13 10:40:36,23,99,649,0.65
94,2021-07-01 22:15:49,21,79,470,0.06
95,2021-07-02 22:15:49,19,72,654,1.15
96,2021-07-03 22:17:01,25,80,507,0.57
97,2021-07-03 22:17:01,20,75,700,1.04
98,2021-07-04 22:18:52,26,78,502,0.1
99,2021-07-04 22:18:52,20,70,569,1.3
100,2021-07-04 22:18:52,20,71,459,1.28
101,2021-07-05 22:20:27,20,82,487,0.05
102,2021-07-05 22:20:27,30,90,625,1.12
103,2021-07-05 22:21:19,18,79,560,0.09
104,2021-07-06 22:22:01,31,75,527,0.23
105,2021-07-06 22:22:01,25,70,471,1.05
106,2021-07-06 22:23:05,31,80,492,1.1
107,2021-07-07 22:23:43,19,72,497,1.06
108,2021-07-07 22:23:43,29,73,608,1.31
109,2021-07-07 22:24:43,27,79,607,0.82
110,2021-07-07 22:25:18,18,80,489,0.08
111,2021-07-07 22:25:48,30,75,683,1.15
112,2021-07-08 22:26:26,18,73,620,0.07
113,2021-07-08 22:26:26,30,82,701,1.02
114,2021-07-08 22:27:46,32,83,633,1.13
115,2021-07-08 22:28:12,19,75,598,1.16
116,2021-07-08 22:28:37,20,81,459,0.07
117,2021-07-08 22:29:11,19,80,521,1.18
118,2021-07-09 22:30:15,24,73,520,1.18
119,2021-07-09 22:30:15,30,81,493,0.19
120,2021-07-09 23:31:56,21,73,477,0.05
121,2021-07-09 18:32:18,20,81,500,1.07
122,2021-07-09 06:32:49,18,70,689,1.17
123,2021-07-09 09:33:15,25,81,458,0.37
124,2021-07-10 22:33:55,23,71,522,0.18
125,2021-07-10 21:33:55,21,73,590,1.2
126,2021-07-10 19:34:48,23,80,83,1.05
127,2021-07-10 15:35:00,18,75,493,0.85
128,2021-07-10 15:36:51,28,70,588,1.12
129,2021-07-01 12:32:05,23,51,650,0.9
130,2021-07-01 13:22:08,24,52,651,0.91
131,2021-07-11 22:38:26,20,81,585,1.18
132,2021-07-11 12:38:26,20,73,604,0.98
133,2021-07-11 22:39:10,30,82,673,0.2
134,2021-07-11 08:39:34,22,83,523,0.23
135,2021-07-12 22:40:08,23,81,700,1.3
136,2021-07-12 23:40:08,30,73,598,1.31
137,2021-07-12 22:41:02,23,81,563,1.15
138,2021-07-13 18:41:21,19,75,576,0.29
139,2021-07-12 22:41:44,22,82,530,0.08
140,2021-07-02 14:19:16,24,53,652,0.92
